"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"RC1206JR-070RL","Yageo","311-0.0ERTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","8238586","20 Weeks","RES SMD 0 OHM JUMPER 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"RCU-0C","TE Connectivity AMP Connectors","A106145TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","201323","27 Weeks","PC TEST POINT NATURAL","RoHS Compliant","Lead free","Not Available"
"LD2981CM50TR","STMicroelectronics","497-7787-2-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","5645","14 Weeks","IC REG LINEAR 5V 100MA SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"XPEBRD-L1-0000-00902","Cree Inc.","XPEBRD-L1-0000-00902CT-ND","","","Cut Tape (CT)","Active","8","2.60000","$20.80","2725","9 Weeks","LED XLAMP XP-E RED SMD","RoHS Compliant","Lead free","Not Available"
"RC0603FR-0715KL","Yageo","311-15.0KHRCT-ND","","","Cut Tape (CT)","Active","9","0.15000","$1.35","1546147","20 Weeks","RES SMD 15K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ESE-20C321","Panasonic Electronic Components","P11161S-ND","","","Bulk","Active","5","1.93000","$9.65","645","18 Weeks","SWITCH PUSH SPST-NO 0.1A 14V","RoHS Compliant","Lead free","Not Available"
"M74HC14YRM13TR","STMicroelectronics","497-14386-1-ND","","","Cut Tape (CT)","Active","4","0.74000","$2.96","6566","28 Weeks","IC INVERT SCHMITT 6CH 6-INP 14SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"3000","","","","","","","","","","","","","","",""
"EEE-1VA470WP","Panasonic Electronic Components","PCE3961CT-ND","","","Cut Tape (CT)","Active","2","0.54000","$1.08","60717","30 Weeks","CAP ALUM 47UF 20% 35V SMD","RoHS Compliant","Lead free","Not Available"
"CGA3E2C0G1H020C080AA","TDK Corporation","445-5616-1-ND","","","Cut Tape (CT)","Active","3","0.24000","$0.72","4603","12 Weeks","CAP CER 2PF 50V C0G 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEE-1VA101XP","Panasonic Electronic Components","PCE3951TR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","79950","30 Weeks","CAP ALUM 100UF 20% 35V SMD","RoHS Compliant","Lead free","Not Available"
"SMBJ15CA","","","","","","","","","","","","","","",""
"DFLS130L-7","Diodes Incorporated","DFLS130LDICT-ND","","","Cut Tape (CT)","Active","4","0.64000","$2.56","69798","18 Weeks","DIODE SCHOTTKY 30V 1A POWERDI123","ROHS3 Compliant","Contains lead","REACH Affected"
"3557-2","Keystone Electronics","36-3557-2-ND","","","Bulk","Active","3","1.71000","$5.13","334661","6 Weeks","FUSE BLOCK BLADE 500V 30A PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"FDWS9508L-F085","ON Semiconductor","FDWS9508L-F085OSCT-ND","","","Cut Tape (CT)","Active","4","3.02000","$12.08","0","21 Weeks","MOSFET P-CH 40V 80A 8PQFN","Not Available","Lead free","REACH Unaffected"
"ERJ-PA3F4703V","Panasonic Electronic Components","P470KBYCT-ND","","","Cut Tape (CT)","Active","3","0.21000","$0.63","4630","22 Weeks","RES SMD 470K OHM 1% 1/4W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"TLR2HWDTE4L00F75","KOA Speer Electronics, Inc.","2019-TLR2HWDTE4L00F75CT-ND","","","Cut Tape (CT)","Active","2","1.18000","$2.36","6551","10 Weeks","RES 0.004 OHM 1% 2W 2010","ROHS3 Compliant","Lead free","REACH Unaffected"
"AC0603FR-072K21L","Yageo","YAG3586CT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","7922","20 Weeks","RES SMD 2.21K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0603FR-071ML","Yageo","311-1.00MHRCT-ND","","","Cut Tape (CT)","Active","4","0.15000","$0.60","6291647","20 Weeks","RES SMD 1M OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-3AEB753V","Panasonic Electronic Components","P75KDBCT-ND","","","Cut Tape (CT)","Active","2","0.46000","$0.92","3898","22 Weeks","RES SMD 75K OHM 0.1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-3EKF4422V","Panasonic Electronic Components","P44.2KHTR-ND","","","Tape & Reel (TR)","Active","1","0.00000","$0.00","739","22 Weeks","RES SMD 44.2K OHM 1% 1/10W 0603","ROHS3 Compliant","Lead free","REACH Unaffected"
